Date_ID,Date_ID_Int,Date_Short,Fiscal_Year_SK,Fiscal_Year,Date_ID_LY,Date_ID_LLY,Fiscal_Half_SK,Fiscal_Half,Fiscal_Quarter_SK,Fiscal_Quarter,Fiscal_Month_SK,Fiscal_Month,Fiscal_Week_SK,Fiscal_Week_No,Fiscal_Week,Fiscal_Week_Year,Day_No_Of_Week,Day_Of_Week,Calendar_Year_SK,Calendar_Year,Calendar_Half_SK,Calendar_Half,Calendar_Quarter_SK,Calendar_Quarter,Calendar_Month_SK,Calendar_Month,Financial_Year_SK,Financial_Year,Financial_Quarter_SK,Financial_Quarter,Financial_Month_SK,Financial_Month,Fiscal_Month_No,Fiscal_Month_Name,Financial_Month_No,Financial_Month_Name,Fiscal_Week_End_Date_ID,Fiscal_Week_End_Date_Short,Yesterday__Week,Today__Week,Yesterday__Last_7_Days,Today__Last_7_Days,Yesterday__Next_7_Days,Today__Next_7_Days,Yesterday__Next_Week,Today__Next_Week,Last_Week__Last_8_Weeks,Last_Week__Last_13_Weeks,Last_Week__Last_26_Weeks,Last_Week__Last_52_Weeks,Last_Week__Last_104_Weeks,This_Week__Last_8_Weeks,This_Week__Last_13_Weeks,This_Week__Last_26_Weeks,This_Week__Last_52_Weeks,This_Week__Last_104_Weeks,This_Week__Last_Next_52_Weeks,This_Week__Next_104_Weeks,This_Week__Next_26_Weeks,This_Week__Next_52_Weeks,This_Week__Next_8_Weeks,This_Month__Last_Next_12_Months,This_Month__Last_Next_12_Calendar_Months,Last_Month__Last_12_Calendar_Months,This_Month__Last_12_Calendar_Months,Last_Month__Last_24_Calendar_Months,This_Month__Last_24_Calendar_Months,This_Month__Next_12_Calendar_Months,This_Month__Next_24_Calendar_Months,Last_Week__HTD,Last_Week__YTD,Last_Week__Full_Year,Last_Week__Last_Year,This_Week__Full_Year,This_Week__Last_Year,Last_Week__Full_Year_Last_Year,This_Week__Full_Year_Last_Year,Last_Month__Last_12_Months,This_Month__Last_12_Months,Last_Month__Last_24_Months,This_Month__Last_24_Months,This_Month__Next_12_Months,This_Month__Next_24_Months,Last_Month__Last_12_Financial_Months,This_Month__Last_12_Financial_Months,Last_Month__Last_24_Financial_Months,This_Month__Last_24_Financial_Months,Last_Month__Full_Financial_Year,This_Month__Full_Financial_Year,Fiscal_Year_SK_Filter,Fiscal_Year_Filter
20211029,20211029,10/29/2021,2022,2022,20201030,20191101,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202218,18,Week 18,Week 18 2022,5,Friday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202110,Oct-21,2022,2022,20222,Qtr 2 2022,202204,Oct-21,5,November,4,October,20211031,10/31/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211030,20211030,10/30/2021,2022,2022,20201031,20191102,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202218,18,Week 18,Week 18 2022,6,Saturday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202110,Oct-21,2022,2022,20222,Qtr 2 2022,202204,Oct-21,5,November,4,October,20211031,10/31/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211031,20211031,10/31/2021,2022,2022,20201101,20191103,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202218,18,Week 18,Week 18 2022,7,Sunday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202110,Oct-21,2022,2022,20222,Qtr 2 2022,202204,Oct-21,5,November,4,October,20211031,10/31/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211101,20211101,11/1/2021,2022,2022,20201102,20191104,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202219,19,Week 19,Week 19 2022,1,Monday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,5,November,5,November,20211107,11/7/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211102,20211102,11/2/2021,2022,2022,20201103,20191105,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202219,19,Week 19,Week 19 2022,2,Tuesday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,5,November,5,November,20211107,11/7/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211103,20211103,11/3/2021,2022,2022,20201104,20191106,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202219,19,Week 19,Week 19 2022,3,Wednesday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,5,November,5,November,20211107,11/7/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211104,20211104,11/4/2021,2022,2022,20201105,20191107,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202219,19,Week 19,Week 19 2022,4,Thursday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,5,November,5,November,20211107,11/7/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211105,20211105,11/5/2021,2022,2022,20201106,20191108,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202219,19,Week 19,Week 19 2022,5,Friday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,5,November,5,November,20211107,11/7/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211106,20211106,11/6/2021,2022,2022,20201107,20191109,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202219,19,Week 19,Week 19 2022,6,Saturday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,5,November,5,November,20211107,11/7/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211107,20211107,11/7/2021,2022,2022,20201108,20191110,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202219,19,Week 19,Week 19 2022,7,Sunday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,5,November,5,November,20211107,11/7/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211108,20211108,11/8/2021,2022,2022,20201109,20191111,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202220,20,Week 20,Week 20 2022,1,Monday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,5,November,5,November,20211114,11/14/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211109,20211109,11/9/2021,2022,2022,20201110,20191112,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202220,20,Week 20,Week 20 2022,2,Tuesday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,5,November,5,November,20211114,11/14/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211110,20211110,11/10/2021,2022,2022,20201111,20191113,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202220,20,Week 20,Week 20 2022,3,Wednesday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,5,November,5,November,20211114,11/14/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211111,20211111,11/11/2021,2022,2022,20201112,20191114,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202220,20,Week 20,Week 20 2022,4,Thursday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,5,November,5,November,20211114,11/14/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211112,20211112,11/12/2021,2022,2022,20201113,20191115,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202220,20,Week 20,Week 20 2022,5,Friday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,5,November,5,November,20211114,11/14/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211113,20211113,11/13/2021,2022,2022,20201114,20191116,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202220,20,Week 20,Week 20 2022,6,Saturday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,5,November,5,November,20211114,11/14/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211114,20211114,11/14/2021,2022,2022,20201115,20191117,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202220,20,Week 20,Week 20 2022,7,Sunday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,5,November,5,November,20211114,11/14/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211115,20211115,11/15/2021,2022,2022,20201116,20191118,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202221,21,Week 21,Week 21 2022,1,Monday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,5,November,5,November,20211121,11/21/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211116,20211116,11/16/2021,2022,2022,20201117,20191119,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202221,21,Week 21,Week 21 2022,2,Tuesday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,5,November,5,November,20211121,11/21/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211117,20211117,11/17/2021,2022,2022,20201118,20191120,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202221,21,Week 21,Week 21 2022,3,Wednesday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,5,November,5,November,20211121,11/21/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211118,20211118,11/18/2021,2022,2022,20201119,20191121,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202221,21,Week 21,Week 21 2022,4,Thursday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,5,November,5,November,20211121,11/21/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211119,20211119,11/19/2021,2022,2022,20201120,20191122,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202221,21,Week 21,Week 21 2022,5,Friday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,5,November,5,November,20211121,11/21/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211120,20211120,11/20/2021,2022,2022,20201121,20191123,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202221,21,Week 21,Week 21 2022,6,Saturday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,5,November,5,November,20211121,11/21/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211121,20211121,11/21/2021,2022,2022,20201122,20191124,20221,Half 1 2022,20222,Qtr 2 2022,202205,Nov-21,202221,21,Week 21,Week 21 2022,7,Sunday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,5,November,5,November,20211121,11/21/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211122,20211122,11/22/2021,2022,2022,20201123,20191125,20221,Half 1 2022,20222,Qtr 2 2022,202206,Dec-21,202222,22,Week 22,Week 22 2022,1,Monday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,6,December,5,November,20211128,11/28/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211123,20211123,11/23/2021,2022,2022,20201124,20191126,20221,Half 1 2022,20222,Qtr 2 2022,202206,Dec-21,202222,22,Week 22,Week 22 2022,2,Tuesday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,6,December,5,November,20211128,11/28/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
20211124,20211124,11/24/2021,2022,2022,20201125,20191127,20221,Half 1 2022,20222,Qtr 2 2022,202206,Dec-21,202222,22,Week 22,Week 22 2022,3,Wednesday,2021,2021,20212,Half 2 2021,20214,Q4 2021,202111,Nov-21,2022,2022,20222,Qtr 2 2022,202205,Nov-21,6,December,5,November,20211128,11/28/2021,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,2022,2022
